System Time, Nox
2018-03-08 17:29:57.697136,130
2018-03-08 17:33:18.327569,81
2018-03-08 17:32:12.628954,83
2018-03-08 17:31:04.895721,77
2018-03-08 17:28:52.447024,90
2018-03-09 21:20:01.762658,53
2018-03-09 22:06:40.181055,54
2018-03-09 22:17:46.929387,103
2018-03-10 15:41:40.994881,175
2018-03-10 15:49:31.482180,65
2018-03-10 18:00:38.655519,50
2018-03-10 19:11:50.964952,54
2018-03-10 19:18:35.997432,107
2018-03-11 14:00:06.134475,51
2018-03-11 14:09:07.771450,61
2018-03-11 14:38:51.680561,67
2018-03-11 14:42:13.865618,75
2018-03-11 14:39:58.359211,66
2018-03-12 17:57:19.574839,76
2018-03-12 17:56:27.411447,111
2018-03-12 20:09:41.760829,72
2018-03-13 09:28:46.311963,179
2018-03-13 09:49:59.936446,54
2018-03-13 09:53:20.492243,86
2018-03-13 09:46:37.341309,61
2018-03-13 09:54:28.342820,124
2018-03-13 09:57:48.113463,186
2018-03-13 10:00:02.534673,72
2018-03-13 09:55:35.464738,93
2018-03-13 10:08:51.804212,57
2018-03-13 10:09:56.705334,52
2018-03-13 10:15:30.397401,66
2018-03-13 11:09:40.114652,54
2018-03-13 11:11:32.704172,85
2018-03-13 11:12:40.635441,61
2018-03-13 11:47:25.151922,51
2018-03-13 11:57:29.689562,57
2018-03-13 12:09:20.104729,55
2018-03-14 07:18:24.237415,72
2018-03-14 07:28:22.878974,60
2018-03-14 07:31:41.942436,76
2018-03-14 07:25:02.684521,102
2018-03-14 08:09:33.848030,58
2018-03-14 08:27:22.662642,57
2018-03-14 09:05:20.049964,79
2018-03-14 09:06:28.730031,57
2018-03-14 09:16:31.214740,54
2018-03-14 09:17:36.254332,60
2018-03-14 13:02:05.974152,53
2018-03-14 09:27:44.091237,73
2018-03-14 13:06:31.798657,73
2018-03-14 13:07:38.080986,52
2018-03-14 09:28:50.752890,68
2018-03-14 16:33:15.147832,95
2018-03-14 16:41:03.833895,61
2018-03-14 17:27:58.012325,120
2018-03-14 17:30:08.374978,72
2018-03-14 21:22:28.361026,68
2018-03-14 22:46:34.787780,229
2018-03-14 23:46:07.836672,65
2018-03-15 00:29:50.670989,156
2018-03-15 08:14:45.778723,169
2018-03-15 00:28:41.455058,116
2018-03-15 08:26:38.637070,96
2018-03-15 08:36:38.409292,79
2018-03-15 08:38:50.987445,74
2018-03-15 09:12:09.442398,71
2018-03-15 09:55:35.835126,164
2018-03-15 10:11:10.054651,76
2018-03-15 10:14:36.439411,146
2018-03-15 10:16:47.500689,93
2018-03-15 10:31:23.808190,62
2018-03-15 10:57:12.325577,51
2018-03-15 11:18:27.160724,64
2018-03-15 11:19:32.227092,56
2018-03-15 11:24:06.385313,58
2018-03-15 11:27:28.235122,72
2018-03-15 14:14:51.901532,84
2018-03-15 19:49:10.265520,99
2018-03-16 07:37:39.720194,102
2018-03-16 15:56:57.771878,98
2018-03-16 16:01:13.486363,93
2018-03-16 16:19:07.702848,52
2018-03-16 16:32:37.429556,240
2018-03-16 16:41:37.250702,51
2018-03-16 16:42:45.049812,53
2018-03-16 18:30:50.183470,50
2018-03-16 18:31:58.123153,58
2018-03-16 18:39:48.721764,79
2018-03-16 19:18:04.105950,67
2018-03-16 19:33:55.498022,56
2018-03-16 19:44:03.843040,240
2018-03-16 19:35:02.009213,51
2018-03-17 00:16:01.418002,74
